epoch,step,train_loss,train_r2,val_loss,val_r2
0,49,0.3923494219779968,0.6302543878555298,,
0,99,0.45494815707206726,0.37935614585876465,,
0,128,,,0.35029011964797974,0.6317901015281677
1,149,0.42226913571357727,0.6132522225379944,,
1,199,0.2804853916168213,0.6206560730934143,,
1,249,0.25040292739868164,0.7398252487182617,,
1,257,,,0.303468257188797,0.6791020035743713
2,299,0.3232288360595703,0.6456463932991028,,
2,349,0.4293878674507141,-0.010634541511535645,,
2,386,,,0.2837914228439331,0.6966855525970459
3,399,0.2844453454017639,0.7226273417472839,,
3,449,0.3786256015300751,0.48358941078186035,,
3,499,0.3148108124732971,0.6918230056762695,,
3,515,,,0.2763368487358093,0.7083418369293213
4,549,0.44593536853790283,0.5702056884765625,,
4,599,0.45264291763305664,0.6389895081520081,,
4,644,,,0.2996678948402405,0.6860270500183105
5,649,0.6409657597541809,0.4230189919471741,,
5,699,0.3086754083633423,0.5423955917358398,,
5,749,0.2210468053817749,0.833476185798645,,
5,773,,,0.2657157778739929,0.7162722945213318
6,799,0.17610910534858704,0.8090047836303711,,
6,849,0.2352929264307022,0.37356269359588623,,
