epoch,step,train_loss,val_loss
0,49,2.357308864593506,
0,99,0.7774310111999512,
0,149,0.6042275428771973,
0,199,0.7778715491294861,
0,249,0.5878989696502686,
0,299,0.3665108382701874,
0,349,0.4948467016220093,
0,399,1.043297529220581,
0,449,0.822763979434967,
0,499,0.9290668368339539,
0,515,,0.5135332345962524
1,549,0.3658401370048523,
1,599,0.5228894948959351,
1,649,0.7855418920516968,
1,699,0.554904580116272,
1,749,0.9677505493164062,
1,799,0.522675096988678,
1,849,0.6732648611068726,
1,899,0.5813034772872925,
1,949,0.6777206659317017,
1,999,0.435791939496994,
1,1031,,0.43826550245285034
2,1049,0.2998853027820587,
2,1099,0.42826539278030396,
2,1149,0.3592761158943176,
2,1199,0.5593887567520142,
2,1249,0.5397863388061523,
2,1299,0.3414698541164398,
2,1349,0.7746954560279846,
2,1399,0.5942547917366028,
2,1449,0.5606066584587097,
